"2007/01/18","14:00","GBP","M","MPC Member Besley Speaks"
"2007/01/18","16:30","CAD","M","Foreign Securities Purchases"
"2007/01/18","16:30","CAD","M","Manufacturing Sales m/m"
"2007/01/18","16:30","USD","H","Core CPI m/m"
"2007/01/18","16:30","USD","L","Unemployment Claims"
"2007/01/18","16:30","USD","M","Building Permits"
"2007/01/18","16:30","USD","M","CPI m/m"
"2007/01/18","16:30","USD","M","Housing Starts"
"2007/01/18","18:00","USD","H","Fed Chairman Bernanke Testifies"
"2007/01/18","18:30","CAD","H","BOC Monetary Policy Report"
"2007/01/18","18:30","USD","L","Crude Oil Inventories"
"2007/01/18","18:30","USD","L","Natural Gas Storage"
"2007/01/18","19:15","CAD","H","BOC Press Conference"
"2007/01/18","20:00","USD","M","Philly Fed Manufacturing Index"
"2007/01/19","00:45","NZD","H","Core Retail Sales m/m"
"2007/01/19","00:45","NZD","H","Retail Sales m/m"
"2007/01/19","03:30","AUD","L","Import Prices q/q"
"2007/01/19","12:30","GBP","H","Retail Sales m/m"
"2007/01/19","12:30","GBP","L","M4 Money Supply m/m"
"2007/01/19","12:30","GBP","L","Public Sector Net Borrowing"
"2007/01/19","16:30","CAD","M","Wholesale Sales m/m"
"2007/01/19","18:00","USD","H","Prelim UoM Consumer Sentiment"
"2007/01/19","18:00","USD","L","Prelim UoM Inflation Expectations"
"2007/01/22","03:01","GBP","L","Rightmove HPI m/m"
"2007/01/22","03:30","AUD","H","PPI q/q"
"2007/01/22","03:30","AUD","L","New Motor Vehicle Sales m/m"
"2007/01/22","10:00","EUR","L","German PPI m/m"
"2007/01/22","11:15","CHF","M","PPI m/m"
"2007/01/22","14:00","EUR","M","German Buba Monthly Report"
"2007/01/23","09:45","EUR","M","French Consumer Spending m/m"
"2007/01/23","13:00","EUR","M","Industrial New Orders m/m"
"2007/01/23","14:00","GBP","M","CBI Industrial Order Expectations"
"2007/01/23","15:00","CAD","H","Core CPI m/m"
"2007/01/23","15:00","CAD","M","CPI m/m"
"2007/01/23","16:30","CAD","H","Core Retail Sales m/m"
"2007/01/23","16:30","CAD","L","Leading Index m/m"
"2007/01/23","16:30","CAD","M","Retail Sales m/m"
"2007/01/23","18:00","USD","L","CB Leading Index m/m"
"2007/01/23","18:00","USD","L","Richmond Manufacturing Index"
"2007/01/23","22:00","GBP","M","BOE Gov King Speaks"
"2007/01/24","02:00","AUD","L","CB Leading Index m/m"
"2007/01/24","02:50","JPY","L","All Industries Activity m/m"
"2007/01/24","02:50","JPY","M","Monetary Policy Meeting Minutes"
"2007/01/24","03:30","AUD","H","CPI q/q"
"2007/01/24","03:30","AUD","M","Trimmed Mean CPI q/q"
"2007/01/24","04:00","NZD","L","Credit Card Spending y/y"
"2007/01/24","12:30","GBP","H","MPC Official Bank Rate Votes"
"2007/01/24","12:30","GBP","H","Prelim GDP q/q"
"2007/01/24","12:30","GBP","L","Index of Services 3m/3m"
"2007/01/24","13:12","EUR","L","German 30-y Bond Auction"
"2007/01/24","17:00","EUR","M","Belgian NBB Business Climate"
"2007/01/24","18:30","USD","L","Crude Oil Inventories"
"2007/01/24","23:00","NZD","H","Official Cash Rate"
"2007/01/24","23:00","NZD","H","RBNZ Rate Statement"
"2007/01/25","02:00","NZD","L","Business NZ Manufacturing Index"
"2007/01/25","02:50","JPY","L","Trade Balance"
"2007/01/25","05:00","CNY","H","GDP q/y"
"2007/01/25","05:00","CNY","H","Industrial Production y/y"
"2007/01/25","05:00","CNY","L","Retail Sales y/y"
"2007/01/25","05:00","CNY","M","CPI y/y"
"2007/01/25","05:00","CNY","M","Fixed Asset Investment ytd/y"
"2007/01/25","05:00","CNY","M","NBS Press Conference"
"2007/01/25","05:00","CNY","M","PPI y/y"
"2007/01/25","10:00","EUR","L","German GfK Consumer Climate"
"2007/01/25","12:00","EUR","H","German Ifo Business Climate"
"2007/01/25","12:00","EUR","L","Current Account"
"2007/01/25","13:00","EUR","L","Italian Retail Sales m/m"
"2007/01/25","16:30","USD","L","Unemployment Claims"
"2007/01/25","18:00","USD","H","Existing Home Sales"
"2007/01/25","18:30","USD","L","Natural Gas Storage"
"2007/01/26","02:00","NZD","M","RBNZ Gov Bollard Speaks"
"2007/01/26","02:30","JPY","L","National Core CPI y/y"
"2007/01/26","02:30","JPY","M","Tokyo Core CPI y/y"
"2007/01/26","02:50","JPY","L","SPPI y/y"
"2007/01/26","10:00","EUR","L","German Import Prices m/m"
"2007/01/26","11:00","EUR","L","Spanish Unemployment Rate"
"2007/01/26","12:00","CHF","M","UBS Consumption Indicator"
"2007/01/26","12:00","EUR","L","M3 Money Supply y/y"
"2007/01/26","12:00","EUR","L","Private Loans y/y"
"2007/01/26","12:00","EUR","M","ECB President Trichet Speaks"
"2007/01/26","12:30","GBP","M","High Street Lending"
"2007/01/26","16:30","USD","H","Core Durable Goods Orders m/m"
"2007/01/26","16:30","USD","M","Durable Goods Orders m/m"
"2007/01/26","18:00","USD","H","New Home Sales"
"2007/01/29","02:50","JPY","M","Retail Sales y/y"
"2007/01/29","03:30","AUD","M","NAB Quarterly Business Confidence"
"2007/01/29","14:00","GBP","M","CBI Realized Sales"
"2007/01/30","00:45","NZD","M","Building Consents m/m"
"2007/01/30","02:30","JPY","L","Household Spending y/y"
"2007/01/30","02:30","JPY","L","Unemployment Rate"
"2007/01/30","02:50","JPY","M","Prelim Industrial Production m/m"
"2007/01/30","03:30","AUD","L","NAB Business Confidence"
"2007/01/30","10:00","GBP","M","Nationwide HPI m/m"
"2007/01/30","12:00","EUR","L","Retail PMI"
"2007/01/30","12:30","GBP","L","Mortgage Approvals"
"2007/01/30","12:30","GBP","L","Net Lending to Individuals m/m"
"2007/01/30","13:18","EUR","L","Italian 10-y Bond Auction"
"2007/01/30","16:30","CAD","L","IPPI m/m"
"2007/01/30","16:30","CAD","L","RMPI m/m"
"2007/01/30","17:00","USD","L","S+P/CS Composite-20 HPI y/y"
"2007/01/30","18:00","USD","H","CB Consumer Confidence"
"2007/01/31","00:45","NZD","H","Trade Balance"
"2007/01/31","02:30","JPY","L","Final Manufacturing PMI"
"2007/01/31","03:20","AUD","M","HIA New Home Sales m/m"
"2007/01/31","03:30","AUD","M","Private Sector Credit m/m"
"2007/01/31","04:30","JPY","L","Average Cash Earnings y/y"
"2007/01/31","08:00","JPY","L","Housing Starts y/y"
"2007/01/31","10:00","EUR","M","German Retail Sales m/m"
"2007/01/31","11:55","EUR","M","German Unemployment Change"
"2007/01/31","13:00","EUR","L","Consumer Confidence"
"2007/01/31","13:00","EUR","L","CPI Flash Estimate y/y"
"2007/01/31","13:00","EUR","L","Unemployment Rate"
"2007/01/31","13:30","CHF","M","KOF Economic Barometer"
"2007/01/31","13:30","GBP","L","GfK Consumer Confidence"
"2007/01/31","16:15","USD","M","ADP Non-Farm Employment Change"
"2007/01/31","16:30","CAD","H","GDP m/m"
"2007/01/31","16:30","USD","H","Advance GDP q/q"
"2007/01/31","16:30","USD","M","Advance GDP Price Index q/q"
"2007/01/31","16:30","USD","M","Employment Cost Index q/q"
"2007/01/31","17:45","USD","M","Chicago PMI"
"2007/01/31","18:00","USD","L","Construction Spending m/m"
"2007/01/31","18:30","USD","L","Crude Oil Inventories"
"2007/01/31","22:15","USD","H","Federal Funds Rate"
"2007/01/31","22:15","USD","H","FOMC Statement"
"2007/02/01","01:30","AUD","L","AIG Manufacturing Index"
"2007/02/01","04:00","CNY","H","Manufacturing PMI"
"2007/02/01","05:30","CNY","M","Caixin Manufacturing PMI"
"2007/02/01","06:45","JPY","L","10-y Bond Auction"
"2007/02/01","08:30","AUD","M","Commodity Prices y/y"
"2007/02/01","10:15","CHF","M","Trade Balance"
"2007/02/01","11:15","EUR","L","Spanish Manufacturing PMI"
"2007/02/01","11:30","CHF","M","Manufacturing PMI"
"2007/02/01","11:45","EUR","L","Italian Manufacturing PMI"
"2007/02/01","12:00","EUR","M","Final Manufacturing PMI"
"2007/02/01","12:30","GBP","M","Manufacturing PMI"
"2007/02/01","13:00","EUR","L","French 10-y Bond Auction"
"2007/02/01","15:30","USD","L","Challenger Job Cuts y/y"
"2007/02/01","16:30","USD","H","Core PCE Price Index m/m"
"2007/02/01","16:30","USD","L","Personal Income m/m"
"2007/02/01","16:30","USD","L","Unemployment Claims"
"2007/02/01","16:30","USD","M","Personal Spending m/m"
"2007/02/01","18:00","USD","H","ISM Manufacturing PMI"
"2007/02/01","18:00","USD","H","Pending Home Sales m/m"
"2007/02/01","18:00","USD","L","ISM Manufacturing Prices"
"2007/02/01","18:30","USD","L","Natural Gas Storage"
"2007/02/01","19:30","EUR","M","ECB President Trichet Speaks"
"2007/02/02","00:45","NZD","L","Visitor Arrivals m/m"
"2007/02/02","02:50","JPY","L","Monetary Base y/y"
"2007/02/02","03:30","AUD","M","Trade Balance"
"2007/02/02","11:00","EUR","L","Spanish Unemployment Change"
"2007/02/02","12:00","CHF","M","SNB Chairman Roth Speaks"
"2007/02/02","12:30","GBP","L","Construction PMI"
"2007/02/02","13:00","EUR","L","PPI m/m"
"2007/02/02","16:30","USD","H","Non-Farm Employment Change"
"2007/02/02","16:30","USD","H","Unemployment Rate"
"2007/02/02","16:30","USD","M","Average Hourly Earnings m/m"
"2007/02/02","18:00","USD","L","Revised UoM Inflation Expectations"
"2007/02/02","18:00","USD","M","Factory Orders m/m"
"2007/02/02","18:00","USD","M","Revised UoM Consumer Sentiment"
"2007/02/03","04:00","CNY","L","Non-Manufacturing PMI"
"2007/02/05","00:45","NZD","H","Labor Cost Index q/q"
"2007/02/05","01:30","AUD","L","AIG Services Index"
"2007/02/05","02:30","AUD","L","MI Inflation Gauge m/m"
"2007/02/05","03:30","AUD","H","Building Approvals m/m"
"2007/02/05","03:30","AUD","H","Retail Sales m/m"
"2007/02/05","03:30","AUD","M","ANZ Job Advertisements m/m"
"2007/02/05","11:15","EUR","L","Spanish Services PMI"
"2007/02/05","11:45","EUR","L","Italian Services PMI"
"2007/02/05","12:00","EUR","L","Final Services PMI"
"2007/02/05","12:30","EUR","L","Sentix Investor Confidence"
"2007/02/05","12:30","GBP","M","Services PMI"
"2007/02/05","13:00","EUR","L","Italian Prelim CPI m/m"
"2007/02/05","18:00","CAD","H","Ivey PMI"
"2007/02/05","18:00","USD","H","ISM Non-Manufacturing PMI"
"2007/02/05","22:00","USD","L","Loan Officer Survey"
"2007/02/06","08:00","JPY","L","Leading Indicators"
